state,state_po,state_fips,democratic_pct_ave_1976_2024,candidatevotes_1976,democratic_pct_1976,candidatevotes_1980,democratic_pct_1980,candidatevotes_1984,democratic_pct_1984,candidatevotes_1988,democratic_pct_1988,candidatevotes_1992,democratic_pct_1992,candidatevotes_1996,democratic_pct_1996,candidatevotes_2000,democratic_pct_2000,candidatevotes_2004,democratic_pct_2004,candidatevotes_2008,democratic_pct_2008,candidatevotes_2012,democratic_pct_2012,candidatevotes_2016,democratic_pct_2016,candidatevotes_2020,democratic_pct_2020,candidatevotes_2024,democratic_pct_2024
MONTANA,MT,30,42.8,149259,46.2,118032,36.3,146742,38.7,168936,47,154507,51.7,167922,48.3,137126,36.3,173710,39.5,231667,48.8,201839,43,177709,38.9,244786,41.6,231906,39.7
NEBRASKA,NE,31,36.9,233293,39.4,166424,28.4,187866,29,259235,39.4,216864,38.7,236761,39.4,231780,34.8,254328,33.2,333319,42.4,302081,38.9,284494,36.5,374583,40.2,369995,39.6
NEVADA,NV,32,46.9,92479,47.7,66666,30.1,91655,32.7,132738,39.2,189148,51.8,203974,50.6,279978,48.1,397190,48.7,533736,56.4,531373,53.4,539260,51.3,703486,51.2,705197,48.4
NEW HAMPSHIRE,NH,33,47.3,147645,44.3,108864,32.9,120347,31.1,163696,36.8,209040,50.8,246166,55.6,266348,49.3,340511,50.7,384826,54.9,369561,52.8,348526,50.2,424921,53.7,418488,51.4
NEW JERSEY,NJ,34,52.5,1444653,48.9,1147364,42.6,1261323,39.5,1320352,43.1,1436206,51.4,1652361,60,1788850,58.2,1911430,53.4,2215422,57.9,2122786,59,2148278,57.3,2608335,58.1,2220713,53
NEW MEXICO,NM,35,50.8,201148,48.8,167826,40.1,201769,39.7,244497,47.5,261617,55.1,273495,54,286783,50,370942,49.6,472422,57.7,415335,55.3,385234,54.7,501614,55.5,478802,53.1
NEW YORK,NY,36,58,3389558,52.2,2728372,48.5,3119609,46,3347882,52.1,3444450,59.5,3756177,66,4107697,63.1,4314280,59.3,4804945,63.6,4471871,64.3,4556124,61.8,5230985,61.7,4619195,56.3
NORTH CAROLINA,NC,37,47.2,927365,55.6,875635,48.9,824287,38,890167,41.8,1114042,49.5,1107849,47.5,1257692,43.5,1525849,43.8,2142651,50.2,2178391,49,2189316,48.1,2684292,49.3,2715375,48.4
NORTH DAKOTA,ND,38,37.9,136078,47,79189,29,104429,34.3,127739,43.4,99168,42.1,106905,46.1,95284,35.3,111052,36.1,141278,45.6,124966,39.9,93758,30.2,114902,32.8,112327,31.3
OHIO,OH,39,47.8,2009959,50.1,1752414,44.3,1825440,40.5,1939629,44.5,1984942,51.2,2148222,53.6,2183628,48.2,2741165,48.9,2940044,52.3,2827621,51.5,2394164,45.7,2679165,45.9,2533699,44.3
OKLAHOMA,OK,40,37.4,532442,49.4,402026,36.6,385080,30.9,483423,41.6,473066,44.4,488105,45.6,474276,38.9,503966,34.4,502496,34.4,443547,33.2,420375,30.7,503890,33.1,499599,32.5
OREGON,OR,41,53.1,490407,49.9,456890,44.4,536479,43.9,616206,52.4,621314,56.6,649641,54.7,720342,50.2,943163,52.1,1037291,58.4,970488,56.3,1002106,56.2,1340383,58.3,1240600,57.4
PENNSYLVANIA,PA,42,51.1,2328677,51.4,1937540,46.1,2228131,46.3,2194944,48.8,2239164,55.5,2215819,55.2,2485967,52.1,2938095,51.3,3276363,55.2,2990274,52.7,2926441,49.6,3458229,50.6,3423042,49.1
