year,state,state_po,state_fips,candidatevotes,democratic_pct,democratic_pct_ave_1976_2024
2016,IDAHO,ID,16,189765,31.7,33.6
2016,ILLINOIS,IL,17,3090729,59.0,54.7
2016,INDIANA,IN,18,1033126,39.9,42.8
2016,IOWA,IA,19,653669,44.9,49.6
2016,KANSAS,KS,20,427005,38.9,40.5
2016,KENTUCKY,KY,21,628854,34.3,42.9
2016,LOUISIANA,LA,22,780154,39.8,44.8
2016,MAINE,ME,23,357735,51.6,52.6
2016,MARYLAND,MD,24,1677928,64.0,58.0
2016,MASSACHUSETTS,MA,25,1995196,64.7,60.7
2016,MICHIGAN,MI,26,2268839,49.9,50.8
2016,MINNESOTA,MN,27,1367705,50.8,53.7
2016,MISSISSIPPI,MS,28,485131,40.9,43.1
2016,MISSOURI,MO,29,1071068,40.2,46.9
2016,MONTANA,MT,30,177709,38.9,42.8
2016,NEBRASKA,NE,31,284494,36.5,36.9
2016,NEVADA,NV,32,539260,51.3,46.9
2016,NEW HAMPSHIRE,NH,33,348526,50.2,47.3
2016,NEW JERSEY,NJ,34,2148278,57.3,52.5
2016,NEW MEXICO,NM,35,385234,54.7,50.8
2016,NEW YORK,NY,36,4556124,61.8,58.0
2016,NORTH CAROLINA,NC,37,2189316,48.1,47.2
2016,NORTH DAKOTA,ND,38,93758,30.2,37.9
2016,OHIO,OH,39,2394164,45.7,47.8
2016,OKLAHOMA,OK,40,420375,30.7,37.4
2016,OREGON,OR,41,1002106,56.2,53.1
2016,PENNSYLVANIA,PA,42,2926441,49.6,51.1
2016,RHODE ISLAND,RI,44,252525,58.3,59.8
2016,SOUTH CAROLINA,SC,45,855373,42.5,44.2
2016,SOUTH DAKOTA,SD,46,117458,34.0,41.0
2016,TENNESSEE,TN,47,870695,36.4,44.3
2016,TEXAS,TX,48,3877868,45.3,43.7
2016,UTAH,UT,49,310674,37.6,32.3
2016,VERMONT,VT,50,178573,65.2,58.1
2016,VIRGINIA,VA,51,1981473,52.8,48.0
2016,WASHINGTON,WA,53,1742718,58.8,53.9
2016,WEST VIRGINIA,WV,54,188794,27.8,44.6
2016,WISCONSIN,WI,55,1382536,49.6,51.1
2016,WYOMING,WY,56,55973,24.3,32.8
2012,ALABAMA,AL,1,795696,38.8,41.7
2012,ALASKA,AK,2,122640,42.7,38.7
2012,ARIZONA,AZ,4,1025232,45.4,44.1
2012,ARKANSAS,AR,5,394409,37.8,45.5
2012,CALIFORNIA,CA,6,7854285,61.9,55.5
2012,COLORADO,CO,8,1323101,52.7,48.4
2012,CONNECTICUT,CT,9,905083,58.8,54.0
2012,DELAWARE,DE,10,242584,59.4,54.2
2012,DISTRICT OF COLUMBIA,DC,11,267070,92.6,90.0
2012,FLORIDA,FL,12,4237756,50.4,46.9
2012,GEORGIA,GA,13,1773827,46.0,48.4
2012,HAWAII,HI,15,306658,71.7,59.7
2012,IDAHO,ID,16,212787,33.6,33.6
2012,ILLINOIS,IL,17,3019512,58.6,54.7
2012,INDIANA,IN,18,1152887,44.8,42.8
2012,IOWA,IA,19,822544,53.0,49.6
2012,KANSAS,KS,20,440726,38.9,40.5
2012,KENTUCKY,KY,21,679370,38.5,42.9
2012,LOUISIANA,LA,22,809141,41.3,44.8
2012,MAINE,ME,23,401306,57.9,52.6
2012,MARYLAND,MD,24,1677844,63.3,58.0
2012,MASSACHUSETTS,MA,25,1921290,61.8,60.7
2012,MICHIGAN,MI,26,2564569,54.8,50.8
2012,MINNESOTA,MN,27,1546167,53.9,53.7
2012,MISSISSIPPI,MS,28,562949,44.2,43.1
2012,MISSOURI,MO,29,1223796,45.2,46.9
2012,MONTANA,MT,30,201839,43.0,42.8
2012,NEBRASKA,NE,31,302081,38.9,36.9
2012,NEVADA,NV,32,531373,53.4,46.9
2012,NEW HAMPSHIRE,NH,33,369561,52.8,47.3
2012,NEW JERSEY,NJ,34,2122786,59.0,52.5
2012,NEW MEXICO,NM,35,415335,55.3,50.8
2012,NEW YORK,NY,36,4471871,64.3,58.0
2012,NORTH CAROLINA,NC,37,2178391,49.0,47.2
2012,NORTH DAKOTA,ND,38,124966,39.9,37.9
2012,OHIO,OH,39,2827621,51.5,47.8
2012,OKLAHOMA,OK,40,443547,33.2,37.4
2012,OREGON,OR,41,970488,56.3,53.1
2012,PENNSYLVANIA,PA,42,2990274,52.7,51.1
2012,RHODE ISLAND,RI,44,279677,64.0,59.8
2012,SOUTH CAROLINA,SC,45,865941,44.7,44.2
2012,SOUTH DAKOTA,SD,46,145039,40.8,41.0
2012,TENNESSEE,TN,47,960709,39.6,44.3
2012,TEXAS,TX,48,3308124,42.0,43.7
2012,UTAH,UT,49,251813,25.4,32.3
2012,VERMONT,VT,50,199239,68.2,58.1
2012,VIRGINIA,VA,51,1971820,52.0,48.0
2012,WASHINGTON,WA,53,1755396,57.6,53.9
2012,WEST VIRGINIA,WV,54,238269,36.3,44.6
2012,WISCONSIN,WI,55,1620985,53.5,51.1
2012,WYOMING,WY,56,69286,28.8,32.8
2008,ALABAMA,AL,1,813479,39.1,41.7
2008,ALASKA,AK,2,123594,38.9,38.7
2008,ARIZONA,AZ,4,1034707,45.7,44.1
2008,ARKANSAS,AR,5,422310,39.8,45.5
2008,CALIFORNIA,CA,6,8274473,62.3,55.5
2008,COLORADO,CO,8,1288576,54.6,48.4
2008,CONNECTICUT,CT,9,997772,61.3,54.0
2008,DELAWARE,DE,10,255459,62.6,54.2
2008,DISTRICT OF COLUMBIA,DC,11,245800,93.4,90.0
